

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
063.261  000.026  000.026: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/health.vim
063.441  000.059  000.059: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/man.vim
067.067  000.184  000.184: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
067.368  003.806  003.622: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/matchit.vim
067.649  000.149  000.149: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/matchparen.vim
068.097  000.318  000.318: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/netrwPlugin.vim
068.593  000.038  000.038: sourcing /Users/jaylinwang/.local/share/nvim/rplugin.vim
068.617  000.369  000.331: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/rplugin.vim
068.936  000.123  000.123: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/shada.vim
069.154  000.039  000.039: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/spellfile.vim
069.498  000.177  000.177: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/tarPlugin.vim
069.765  000.094  000.094: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/tohtml.vim
069.947  000.034  000.034: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/tutor.vim
070.250  000.172  000.172: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/zipPlugin.vim
161.595  000.201  000.201: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/syntax/syncolor.vim
177.894  000.200  000.200: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/syntax/syncolor.vim
182.804  019.943  019.743: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/gruvbox.nvim/colors/gruvbox.vim
186.235  115.563  095.420: sourcing /Users/jaylinwang/.config/nvim/plugin/packer_compiled.lua
187.025  016.934: loading plugins
189.125  000.232  000.232: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/dashboard-nvim/plugin/dashboard.vim
190.170  000.370  000.370: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/editorconfig-vim/plugin/editorconfig.vim
191.128  000.225  000.225: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/lspsaga.nvim/plugin/lspsaga.vim
191.950  000.062  000.062: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/lush.nvim/plugin/lush.vim
194.129  001.199  001.199: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
194.636  000.092  000.092: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.vim
195.504  000.148  000.148: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-tree.lua/plugin/nvim-tree-startup.lua
196.679  000.700  000.700: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
197.422  000.048  000.048: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/elixir.vim
197.574  000.034  000.034: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fennel.vim
197.727  000.038  000.038: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fish.vim
197.883  000.039  000.039: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdresource.vim
198.031  000.032  000.032: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdscript.vim
198.183  000.033  000.033: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/glimmer.vim
198.335  000.035  000.035: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gomod.vim
198.491  000.038  000.038: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/graphql.vim
198.643  000.036  000.036: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hcl.vim
198.788  000.030  000.030: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/heex.vim
198.934  000.032  000.032: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hjson.vim
199.082  000.029  000.029: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/json5.vim
199.228  000.028  000.028: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/julia.vim
199.386  000.037  000.037: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ledger.vim
199.607  000.028  000.028: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/nix.vim
199.749  000.028  000.028: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ql.vim
199.901  000.038  000.038: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
200.042  000.026  000.026: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/surface.vim
200.185  000.026  000.026: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/teal.vim
200.325  000.025  000.025: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/tlaplus.vim
200.467  000.027  000.027: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/yang.vim
200.608  000.027  000.027: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/zig.vim
201.108  000.053  000.053: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
202.018  000.056  000.056: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
203.062  000.054  000.054: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/telescope-frecency.nvim/plugin/frecency.vim
204.250  000.447  000.447: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.vim
205.035  000.185  000.185: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-commentary/plugin/commentary.vim
206.069  000.217  000.217: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-expand-region/autoload/expand_region.vim
206.164  000.543  000.325: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-expand-region/plugin/expand_region.vim
207.097  000.298  000.298: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/plugin/prettier.vim
207.715  000.032  000.032: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/css.vim
207.865  000.032  000.032: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/graphql.vim
208.008  000.029  000.029: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/html.vim
208.157  000.034  000.034: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/javascript.vim
208.304  000.029  000.029: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/json.vim
208.449  000.028  000.028: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/less.vim
208.589  000.027  000.027: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/lua.vim
208.746  000.040  000.040: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/markdown.vim
208.888  000.026  000.026: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/php.vim
209.026  000.025  000.025: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/ruby.vim
209.166  000.027  000.027: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/scss.vim
209.310  000.025  000.025: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/svelte.vim
209.455  000.030  000.030: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/typescript.vim
209.593  000.023  000.023: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/vue.vim
209.729  000.023  000.023: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/xml.vim
209.868  000.026  000.026: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/yaml.vim
210.681  000.281  000.281: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-startuptime/plugin/startuptime.vim
211.675  000.176  000.176: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/plugs.vim
212.232  000.164  000.164: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/maps.vim
212.586  000.151  000.151: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/maps/all.vim
213.507  002.262  001.770: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-visual-multi/plugin/visual-multi.vim
214.490  000.357  000.357: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/plugin/vsnip.vim
214.937  019.182: loading packages
216.517  001.248  001.248: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/cmp-vsnip/after/plugin/cmp_vsnip.vim
219.517  001.463  001.463: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
219.987  000.140  000.140: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
221.607  001.278  001.278: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/cmp-cmdline/after/plugin/cmp_cmdline.lua
223.560  001.608  001.608: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
223.815  003.142: loading after plugins
223.828  000.013: inits 3
224.893  001.064: reading ShaDa
225.017  000.124: opening buffers
225.057  000.040: BufEnter autocommands
225.059  000.002: editing files in windows
227.736  000.170  000.170: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/dashboard-nvim/autoload/dashboard.vim
228.176  000.053  000.053: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/dashboard-nvim/autoload/dashboard/utils.vim
228.558  000.073  000.073: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/dashboard-nvim/autoload/dashboard/header.vim
229.122  000.148  000.148: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/dashboard-nvim/autoload/dashboard/section.vim
230.145  000.197  000.197: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/autoload/provider/clipboard.vim
239.424  000.148  000.148: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/dashboard-nvim/syntax/dashboard.vim
240.362  000.019  000.019: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/dashboard-nvim/syntax/dashboard.vim
243.549  017.681: VimEnter autocommands
243.551  000.003: UIEnter autocommands
243.554  000.003: before starting main loop
244.872  000.307  000.307: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/vsnip.vim
245.231  000.103  000.103: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Position.vim
245.504  000.056  000.056: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip.vim
245.854  001.488  001.023: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vsnip/snippet.vim
246.280  000.182  000.182: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/TextEdit.vim
246.682  000.102  000.102: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Text.vim
247.149  000.158  000.158: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Buffer.vim
247.543  000.093  000.093: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Option.vim
248.120  000.244  000.244: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Diff.vim
248.322  004.146  001.879: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vsnip/session.vim
248.514  004.546  000.400: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vsnip.vim
261.003  012.902: first screen update
261.005  000.003: --- NVIM STARTED ---
